Zipcode,Liquor_Shops_Normalized
10001,0.002230848
10002,0.001008548
10003,0.001324314
10004,0.002743484
10004,0.002743484
10004,0.002743484
10004,0.002743484
10005,0.000616751
10006,0.001660578
10007,0.002184897
10009,0.000894964
10010,0.001338643
10011,0.001185911
10012,0.001194595
10013,0.001429337
10014,0.001340654
10016,0.000988902
10017,0.001759015
10018,0.006723605
10019,0.001310585
10020,inf
10021,0.00103755
10022,0.001116644
10023,0.000525478
10024,0.000615164
10025,0.000676703
10026,0.000699443
10027,0.000818568
10028,0.000799495
10029,0.000980607
10030,0.000711078
10031,0.00089458
10032,0.00100684
10033,0.001142141
10034,0.000970651
10035,0.001060658
10035,0.001060658
10036,0.001868921
10037,0.001004075
10038,0.001254771
10039,0.000784022
10040,0.001096678
10044,0.000343024
10065,0.000478197
10069,0.00034188
10075,0.0003571
10112,inf
10118,inf
10120,inf
10121,inf
10128,0.000735452
10162,inf
10168,inf
10280,0.001577287
10281,0.000497884
10282,0.000483209
10301,0.001112815
10302,0.001876069
10303,0.000776398
10304,0.000891523
10305,0.000886312
10306,0.000665444
10307,0.000922247
10308,0.000615674
10309,0.000543577
10310,0.001039875
10312,0.000461491
10314,0.000608685
10451,0.001381966
10452,0.001261432
10453,0.001031247
10454,0.001494689
10455,0.001405834
10456,0.001029198
10457,0.001252616
10458,0.00129785
10459,0.001474233
10460,0.001270513
10461,0.001365012
10462,0.000911806
10463,0.000821053
10463,0.000821053
10464,0.002027941
10464,0.002027941
10464,0.002027941
10465,0.000595068
10466,0.000609208
10467,0.000939427
10468,0.000878192
10469,0.000752677
10470,0.001356852
10471,0.000681518
10472,0.00129604
10473,0.000703452
10474,0.001791385
10475,0.00053749
11004,0.000594429
11005,0.000283046
11101,0.002513903
11102,0.00106057
11103,0.001281582
11104,0.001327091
11105,0.001083835
11106,0.001396612
11109,0.000363372
11201,0.001150054
11203,0.000909557
11204,0.000723944
11205,0.001337386
11206,0.001088842
11207,0.001442986
11208,0.001292236
11209,0.001068515
11210,0.000417493
11211,0.00203743
11212,0.001085064
11213,0.001025214
11214,0.00096563
11215,0.001311797
11216,0.001596673
11217,0.001365561
11218,0.000830105
11219,0.00061581
11220,0.00126469
11221,0.001458271
11222,0.00217541
11223,0.00097666
11224,0.000725806
11225,0.000990677
11226,0.000923378
11228,0.000998143
11229,0.000866747
11230,0.000655478
11231,0.00132754
11231,0.00132754
11232,0.001829206
11233,0.001048893
11234,0.00064063
11235,0.000945751
11236,0.000677392
11237,0.00196615
11238,0.001585805
11239,0.000398026
11249,0.000772445
11354,0.000734729
11355,0.000434735
11356,0.001112109
11357,0.000718981
11358,0.000900829
11360,0.000105413
11361,0.001087872
11362,0.000790648
11363,0.000566572
11364,0.000500928
11365,0.000468812
11366,0.001594775
11367,0.000598473
11368,0.001384445
11369,0.0007346
11370,0.00036954
11370,0.00036954
11371,inf
11372,0.001350621
11373,0.000799747
11374,0.000888785
11375,0.00091897
11377,0.001133712
11378,0.001381332
11379,0.000846788
11385,0.001605104
11411,0.000823452
11412,0.000856678
11413,0.000660754
11414,0.000726633
11415,0.000895208
11416,0.001140699
11417,0.001190393
11418,0.00125659
11419,0.001253879
11420,0.00074094
11421,0.000897114
11422,0.000464514
11423,0.000793572
11426,0.000448878
11427,0.000638046
11428,0.000956531
11429,0.000716675
11432,0.000869915
11433,0.000771994
11434,0.000827743
11435,0.001235862
11436,0.000802955
11691,0.000597342
11692,0.0003885
11693,0.001176258
11693,0.001176258
11693,0.001176258
11693,0.001176258
11694,0.001190299
11697,0.000735474
